"Age","Gender_of_partner","desire","partner_respo","attachment_anxious","attachment_avoidant","Rel_length","intimacy_lb","intimacy_m","intimacy_ub"
38,"male",9,10.6088550966015,14,9,7,4.23213115962821,4.49062347096964,4.71249401035485
19,"male",8,17.6814251610025,14,7,2,3.33140133145015,3.95615527628872,4.45637918300682
43,"male",14,16.7973539029524,13,12,1,3.54455193542985,4.11116396934173,4.55906602522689
40,"male",11,17.6814251610025,14,7,26,3.83030012138725,4.29387181904988,4.66320637082167
20,"male",13,17.6814251610025,13,8,4,4.23213115962821,4.49062347096964,4.71249401035485
50,"male",14,18.5654964190527,13,10,13,4.23213115962821,4.49062347096964,4.71249401035485
48,"male",5,15.9132826449023,13,4,7,3.38182926591105,3.99405360355965,4.48216891188277
28,"female",14,18.5654964190527,12,5,7,4.23213115962821,4.49062347096964,4.71249401035485
24,"male",14,12.3769976127018,12,10,1.7,2.45502610481833,3.20220848448982,3.90690769151734
45,"male",7,17.6814251610025,13,6,30,4.23213115962821,4.49062347096964,4.71249401035485
65,"female",14,18.5654964190527,14,11,32,4.23213115962821,4.49062347096964,4.71249401035485
38,"male",10,17.6814251610025,13,9,11,3.69734044738856,4.21283263234203,4.62040003943125
25,"male",12,15.0292113868522,14,6,3,3.6972780073746,4.2127928923715,4.62037747939536
22,"male",2,9.7247838385514,14,12,5,2.67638648841283,3.41048701684807,4.06514884145646
25,"male",5,6.18849880635089,14,12,4,1.99405854247232,2.70794114480488,3.48641780079971
25,"male",8,13.2610688707519,11,9,3,4.23213115962821,4.49062347096964,4.71249401035485
32,"female",14,14.145140128802,12,8,9,3.57476525177949,4.13194760501386,4.57211449737876
33,"female",14,17.6814251610025,14,11,10,3.69732270199545,4.21282133843617,4.62039362811274
23,"male",2,18.5654964190527,11,6,3,4.23213115962821,4.49062347096964,4.71249401035485
34,"male",10,17.6814251610025,13,5,5,4.23213115962821,4.49062347096964,4.71249401035485
24,"male",8,17.6814251610025,11,7,6,4.23213115962821,4.49062347096964,4.71249401035485
25,"male",8,18.5654964190527,14,8,3,4.23213115962821,4.49062347096964,4.71249401035485
24,"male",5,14.145140128802,13,4,7,3.58440391373795,4.13850994328276,4.57618692276371
20,"female",8,17.6814251610025,9,7,0.7,3.28174519463446,3.91817533504999,4.43022251655776
19,"female",10,18.5654964190527,12,4,2,4.23213115962821,4.49062347096964,4.71249401035485
31,"female",8,15.0292113868522,11,11,13,3.0146364109396,3.70402567441683,4.2790408126574
26,"male",14,7.07257006440102,14,12,6,3.8464615879743,4.30322013135764,4.66765393627463
18,"male",11,16.7973539029524,13,10,0.2,3.6972780073746,4.2127928923715,4.62037747939536
29,"male",8,16.7973539029524,14,4,7,3.95228538909692,4.36162326336957,4.69231057689414
59,"female",9,15.9132826449023,11,10,16,3.54457003099034,4.11117651276296,4.55907396616336
28,"female",14,18.5654964190527,13,3,7,4.23213115962821,4.49062347096964,4.71249401035485
28,"male",7,15.0292113868522,11,8,7,3.33344389197934,3.95770378586798,4.45743945219842
24,"female",14,16.7973539029524,13,7,1,4.23213115962821,4.49062347096964,4.71249401035485
32,"male",9,12.3769976127018,13,10,3,2.91864897161982,3.62334225298059,4.22100060953139
43,"male",6,16.7973539029524,11,9,22,3.95219527907281,4.36157564792909,4.6922930419966
26,"male",4,15.9132826449023,13,4,9,3.69730018634093,4.212807008359,4.6203854930693
25,"male",11,17.6814251610025,11,6,2,3.95233621653558,4.36165011970414,4.69232046490716
22,"female",12,15.0292113868522,12,6,5,2.94629169187435,3.64677790246802,4.23791099147082
44,"male",4,14.145140128802,10,4,24,3.09389959716841,3.76919307667286,4.32554464961125
