"Age","Gender_of_partner","desire","partner_respo","attachment_anxious","attachment_avoidant","Rel_length","intimacy_lb","intimacy_m","intimacy_ub"
31,"male",14,18.5654964190527,12,6,2,4.23213115962821,4.49062347096964,4.71249401035485
37,"female",13,10.6088550966015,9,10,4,2.92377428823388,3.62769990961948,4.22414819995874
25,"female",13,18.5654964190527,14,5,2,4.23213115962821,4.49062347096964,4.71249401035485
28,"male",11,16.7973539029524,14,7,10,3.2468037561864,3.89107866828474,4.4114026247153
23,"male",9,15.9132826449023,13,7,5,4.23213115962821,4.49062347096964,4.71249401035485
38,"male",14,17.6814251610025,13,7,9,3.33342679476045,3.95769082870898,4.45743058254708
27,"male",12,14.145140128802,12,8,2,3.69734044738856,4.21283263234203,4.62040003943125
45,"male",14,16.7973539029524,11,8,27,4.23213115962821,4.49062347096964,4.71249401035485
29,"male",4,16.7973539029524,14,6,3,3.4648025053545,4.05481363037066,4.5226877953066
29,"female",14,15.0292113868522,14,9,2,3.46478146775232,4.05479849149355,4.52267785046701
49,"female",13,18.5654964190527,11,2,28,3.95233621653558,4.36165011970414,4.69232046490716
29,"male",10,16.7973539029524,14,9,4,3.83030012138725,4.29387181904988,4.66320637082167
29,"male",9,15.9132826449023,11,5,7,4.23213115962821,4.49062347096964,4.71249401035485
30,"male",9,18.5654964190527,14,7,14,3.95233621653558,4.36165011970414,4.69232046490716
56,"male",11,15.0292113868522,11,12,5,4.23213115962821,4.49062347096964,4.71249401035485
27,"male",8,15.0292113868522,12,6,7,3.69730052029017,4.21280722090229,4.62038561372927
34,"female",13,13.2610688707519,13,8,9,3.46476960329964,4.05478995364841,4.52267224185705
51,"female",12,11.4929263546517,13,8,8,3.95233621653558,4.36165011970414,4.69232046490716
32,"male",6,16.7973539029524,13,8,0.1,4.23213115962821,4.49062347096964,4.71249401035485
40,"male",10,15.9132826449023,14,10,17,3.46479081733764,4.05480521956957,4.52268227019986
22,"male",13,12.3769976127018,14,10,1,2.57821301464917,3.31994677666767,3.99724261402867
